State,Value,month,year,date
New South Wales,122400,8,2023,2023-08-01
Victoria,99600,8,2023,2023-08-01
Queensland,80000,8,2023,2023-08-01
South Australia,24700,8,2023,2023-08-01
Western Australia,52500,8,2023,2023-08-01
Tasmania,6800,8,2023,2023-08-01
Northern Territory,6000,8,2023,2023-08-01
Australian Capital Territory,10400,8,2023,2023-08-01
New South Wales,119500,11,2023,2023-11-01
Victoria,94900,11,2023,2023-11-01
Queensland,78200,11,2023,2023-11-01
South Australia,24000,11,2023,2023-11-01
Western Australia,49500,11,2023,2023-11-01
Tasmania,6500,11,2023,2023-11-01
Northern Territory,5200,11,2023,2023-11-01
Australian Capital Territory,8600,11,2023,2023-11-01
New South Wales,107600,2,2024,2024-02-01
Victoria,91500,2,2024,2024-02-01
Queensland,69500,2,2024,2024-02-01
South Australia,25900,2,2024,2024-02-01
Western Australia,47800,2,2024,2024-02-01
Tasmania,6800,2,2024,2024-02-01
Northern Territory,4800,2,2024,2024-02-01
Australian Capital Territory,8700,2,2024,2024-02-01
New South Wales,103500,5,2024,2024-05-01
Victoria,87400,5,2024,2024-05-01
Queensland,67000,5,2024,2024-05-01
South Australia,21500,5,2024,2024-05-01
Western Australia,42000,5,2024,2024-05-01
Tasmania,6400,5,2024,2024-05-01
Northern Territory,5500,5,2024,2024-05-01
Australian Capital Territory,8300,5,2024,2024-05-01
New South Wales,101400,8,2024,2024-08-01
Victoria,82800,8,2024,2024-08-01
Queensland,67500,8,2024,2024-08-01
South Australia,19500,8,2024,2024-08-01
Western Australia,41500,8,2024,2024-08-01
Tasmania,6100,8,2024,2024-08-01
Northern Territory,5100,8,2024,2024-08-01
Australian Capital Territory,7900,8,2024,2024-08-01
